program		1		TKN_PROGRAM
{		1		TKN_LBRACE
int		2		TKN_INT
x		2		TKN_ID
,		2		TKN_COMMA
y		2		TKN_ID
_		2		TKN_ERROR
9		2		TKN_NUM
,		2		TKN_COMMA
z		2		TKN_ID
;		2		TKN_SEMICOLON
while		3		TKN_WHILE
(		3		TKN_LPARENT
x		3		TKN_ID
<		3		TKN_LTHAN
10		3		TKN_NUM
)		3		TKN_RPARENT
{		3		TKN_LBRACE
write		4		TKN_WRITE
x		4		TKN_ID
;		4		TKN_SEMICOLON
write		5		TKN_WRITE
y		5		TKN_ID
;		5		TKN_SEMICOLON
read		6		TKN_READ
y		6		TKN_ID
;		6		TKN_SEMICOLON
}		7		TKN_RBRACE
if		8		TKN_IF
(		8		TKN_LPARENT
x		8		TKN_ID
<		8		TKN_LTHAN
z		8		TKN_ID
)		8		TKN_RPARENT
{		8		TKN_LBRACE
x		9		TKN_ID
=		9		TKN_ASSIGN
x		9		TKN_ID
+		9		TKN_ADD
10		10		TKN_NUM
write		10		TKN_WRITE
x		10		TKN_ID
;		10		TKN_SEMICOLON
read		11		TKN_READ
z		11		TKN_ID
;		11		TKN_SEMICOLON
}		12		TKN_RBRACE
else		12		TKN_ELSE
{		12		TKN_LBRACE
write		13		TKN_WRITE
nada		13		TKN_ID
;		13		TKN_SEMICOLON
}		14		TKN_RBRACE
fi		15		TKN_FI
}		15		TKN_RBRACE
$		15		TKN_EOF
